TimeStamp,GSR Data,ECG Data,EMG Data,Acc1 X,Acc1 Y,Acc1 z,Acc2 X,Acc2 Y,Acc2 z
1950,481,503,499,15592,-5380,3336,4544,4124,-14884
1956,481,503,501,15592,-5516,3204,4412,4140,-15044
1961,480,504,502,15528,-5488,3236,4468,4188,-15120
1968,480,504,506,15556,-5340,3344,4256,4036,-14996
1973,480,504,504,15600,-5428,3240,4380,4160,-15224
1979,480,505,502,15584,-5476,3328,4360,4096,-15188
1985,480,502,502,15564,-5476,3236,4404,4104,-15060
1990,480,487,505,15560,-5488,3136,4296,4092,-15108
1996,480,450,499,15596,-5512,3280,4380,4016,-15220
2001,480,430,497,15492,-5520,3152,4356,4128,-15192
2008,480,464,508,15480,-5504,3356,4420,4084,-15036
2013,480,558,529,15652,-5484,3356,4328,4196,-15076
2019,480,689,557,15584,-5528,3380,4208,4196,-15216
2024,480,810,577,15580,-5484,3180,4352,4240,-15328
2030,479,846,579,15480,-5464,3208,4412,4180,-15252
2036,479,781,559,15548,-5436,3256,4268,4208,-15132
2041,480,658,521,15532,-5464,3308,4344,4088,-15060
2048,479,544,494,15528,-5584,3420,4384,4168,-15096
2053,479,475,486,15592,-5384,3224,4340,4152,-15060
2059,479,444,486,15632,-5556,3296,4384,4240,-15184
2064,479,434,489,15596,-5588,3312,4368,4120,-15208
2070,479,434,495,15556,-5452,3380,4308,4200,-15140
2075,479,438,496,15576,-5484,3384,4364,4188,-15048
2081,479,442,494,15532,-5436,3320,4424,4196,-15100
2087,479,446,495,15564,-5448,3180,4320,4172,-15176
2093,479,448,496,15544,-5368,3168,4348,4140,-15060
2099,479,451,494,15540,-5448,3316,4400,4156,-15220
2104,479,455,495,15608,-5520,3332,4416,4192,-15148
2110,479,459,497,15576,-5368,3224,4408,4144,-15160
2115,479,462,503,15548,-5476,3232,4368,4132,-15268
2121,479,464,509,15580,-5520,3216,4380,4160,-15224
2126,479,467,505,15552,-5484,3232,4412,4100,-15212
2132,479,472,503,15556,-5520,3304,4392,4092,-15244
2139,479,475,501,15540,-5404,3336,4332,3992,-15136
2144,479,476,503,15496,-5504,3264,4392,4184,-15132
2150,479,476,506,15608,-5476,3512,4336,4216,-14984
2155,479,478,507,15548,-5492,3256,4332,4320,-15128
2161,480,482,513,15604,-5400,3380,4420,4336,-15188
2166,480,487,510,15572,-5388,3212,4304,4200,-15080
2172,480,490,512,15640,-5456,3220,4344,4132,-14992
2178,480,491,512,15644,-5464,3260,4336,4296,-15124
2184,480,494,510,15536,-5484,3276,4356,4252,-15116
2190,480,496,510,15516,-5440,3228,4468,4140,-15220
2195,480,497,514,15624,-5444,3276,4300,4104,-14992
2201,481,498,518,15564,-5376,3320,4304,4116,-15196
2206,481,500,516,15624,-5460,3332,4392,4212,-15148
2212,481,505,513,15484,-5484,3340,4248,4184,-15208
2217,481,506,513,15564,-5444,3308,4384,4252,-15244
2224,481,509,517,15552,-5528,3272,4340,4148,-15148
2230,481,511,513,15496,-5524,3228,4404,4120,-15200
2235,481,511,512,15608,-5480,3432,4388,4128,-15092
2241,481,510,514,15500,-5472,3312,4308,4116,-15172
2246,481,509,518,15608,-5472,3132,4372,4068,-15192
2252,481,509,515,15604,-5436,3256,4372,4056,-15160
2257,481,509,513,15524,-5448,3344,4396,4108,-15116
2264,481,509,512,15572,-5452,3312,4352,4028,-14960
2269,481,508,507,15616,-5464,3148,4316,4156,-15080
2275,481,506,507,15664,-5580,3336,4380,4136,-15092
2281,481,502,504,15560,-5368,3304,4444,4140,-15228
2286,481,500,503,15460,-5500,3216,4348,4192,-15208
2292,481,497,505,15564,-5424,3188,4468,4224,-15240
2297,481,495,503,15556,-5520,3296,4376,4192,-15328
2304,481,491,501,15608,-5484,3204,4324,4156,-15188
2309,481,490,499,15452,-5488,3236,4220,4200,-15120
2315,481,490,499,15464,-5492,3356,4264,4208,-15112
2320,481,492,497,15600,-5436,3356,4204,4116,-15296
2326,481,492,496,15624,-5456,3312,4320,4140,-15088
2332,480,492,498,15660,-5444,3220,4352,4232,-15204
2337,480,492,497,15668,-5432,3364,4336,4208,-14976
2343,480,492,499,15592,-5440,3304,4372,4268,-15148
2349,480,491,502,15604,-5412,3276,4316,4160,-15040
2355,480,493,499,15580,-5464,3172,4268,4228,-15064
2360,480,495,498,15548,-5464,3188,4260,4208,-15080
2366,480,496,497,15652,-5460,3292,4356,4112,-15104
2371,480,497,498,15504,-5448,3236,4368,4120,-15012
2377,480,501,500,15516,-5500,3284,4404,4160,-15104
2383,480,504,500,15620,-5464,3220,4512,4176,-15056
2388,479,505,501,15536,-5352,3084,4332,4132,-15148
2395,479,506,501,15656,-5536,3208,4396,4156,-15220
2400,479,505,503,15660,-5444,3380,4344,4056,-15184
2406,479,506,503,15592,-5396,3316,4452,4116,-15228
2411,479,508,504,15620,-5440,3416,4368,4188,-15176
2417,479,507,507,15636,-5408,3372,4336,4176,-15136
2422,478,506,508,15388,-5552,3332,4276,4120,-15080
2428,478,506,508,15536,-5484,3208,4448,4080,-15140
2435,478,508,504,15564,-5440,3284,4248,4116,-15136
2440,478,509,508,15648,-5532,3248,4352,4196,-15104
2446,478,508,508,15636,-5516,3140,4296,4312,-15284
2451,478,508,505,15564,-5448,3212,4264,4236,-15168
2457,478,509,507,15572,-5480,3368,4368,4096,-15000
2462,478,509,508,15608,-5488,3296,4276,4236,-15072
2468,478,509,508,15600,-5428,3300,4280,4120,-15216
2475,477,507,504,15644,-5508,3192,4332,4236,-15148
2480,477,508,503,15568,-5596,3364,4332,4232,-15120
2486,477,510,506,15536,-5524,3340,4352,4156,-15240
2491,477,510,505,15576,-5508,3300,4344,4260,-15224
2497,477,511,507,15624,-5508,3184,4472,4120,-14928
2502,477,510,505,15600,-5488,3244,4372,4088,-15136
2508,477,509,508,15612,-5464,3288,4344,4176,-15116
2513,477,510,507,15664,-5404,3288,4376,4192,-15092
2520,477,509,507,15528,-5464,3204,4412,4104,-15020
2526,476,507,506,15624,-5552,3184,4372,4156,-15144
2531,476,507,506,15572,-5496,3208,4252,4080,-14996
2537,476,508,505,15616,-5404,3312,4304,4144,-15164
2542,476,508,505,15656,-5444,3228,4436,4116,-15212
2548,476,508,508,15492,-5464,3276,4372,4240,-15048
2553,476,508,511,15580,-5412,3332,4320,4092,-15148
2560,476,509,510,15548,-5416,3220,4248,4156,-14996
2565,476,511,515,15552,-5472,3368,4288,4108,-15176
2571,476,511,509,15420,-5420,3448,4388,4148,-15224
2577,476,513,509,15604,-5444,3260,4336,4112,-15128
2582,476,514,512,15520,-5472,3268,4324,4168,-15240
2588,476,515,515,15560,-5436,3288,4316,4236,-15216
2593,476,516,517,15500,-5424,3348,4352,4196,-15104
2599,476,518,518,15584,-5500,3440,4288,4136,-15224
2605,476,522,517,15540,-5536,3296,4340,4168,-15048
2611,476,525,516,15584,-5504,3288,4300,4204,-15168
2617,476,523,516,15644,-5508,3336,4280,4196,-15148
2622,476,522,517,15608,-5416,3180,4436,4240,-15136
2628,476,517,515,15564,-5416,3312,4308,4204,-15036
2633,476,513,508,15632,-5488,3408,4448,4132,-15236
2639,476,509,505,15612,-5472,3224,4368,4292,-15020
2644,476,504,506,15600,-5572,3168,4292,4292,-15020
2651,476,504,506,15452,-5556,3204,4216,4256,-15100
2656,476,505,503,15420,-5528,3336,4368,4132,-15024
2662,475,506,502,15568,-5412,3140,4264,4132,-15224
2668,476,506,506,15512,-5508,3304,4356,4136,-15148
2673,476,506,507,15512,-5424,3404,4344,4348,-15276
2679,475,506,503,15528,-5448,3320,4388,4232,-15220
2684,475,506,502,15592,-5512,3340,4384,4252,-15096
2691,475,506,505,15660,-5508,3200,4384,4224,-14896
2696,475,507,508,15508,-5448,3320,4340,4252,-14960
2702,475,507,510,15600,-5484,3220,4300,4192,-15220
2707,475,508,509,15536,-5488,3108,4344,4256,-15152
2713,475,509,512,15516,-5452,3416,4476,4200,-15096
2719,475,506,506,15584,-5524,3312,4264,4088,-15240
2724,475,498,507,15544,-5436,3320,4276,4244,-15200
2731,475,475,504,15624,-5448,3256,4232,4212,-15160
2736,475,437,499,15572,-5484,3272,4232,4156,-15364
